epoch, wall, LR,training_loss_e,training_loss,training_e_mae,training_e/N_mae,validation_loss_e,validation_loss,validation_e_mae,validation_e/N_mae
         1,  103.108,    0.005,           1.0819,           1.0819,         5.44,         0.17,        0.0054515,        0.0054515,         1.98,       0.0619
         2,  208.594,    0.005,          0.96847,          0.96847,         3.82,        0.119,         0.002873,         0.002873,         1.33,       0.0414
         3,  313.057,    0.005,          0.78768,          0.78768,         5.37,        0.168,         0.018969,         0.018969,         2.69,       0.0841
         4,  415.116,    0.005,           6.5481,           6.5481,         4.74,        0.148,        0.0089498,        0.0089498,         2.39,       0.0748
         5,  529.393,    0.005,           1.0444,           1.0444,         6.55,        0.205,         0.036334,         0.036334,         5.01,        0.157
         6,  653.025,    0.005,          0.96332,          0.96332,         4.89,        0.153,         0.022499,         0.022499,         3.94,        0.123
         7,  761.576,    0.005,          0.90507,          0.90507,         3.95,        0.123,         0.010313,         0.010313,         2.58,       0.0806
         8,  863.202,    0.005,          0.86307,          0.86307,         4.78,        0.149,         0.011496,         0.011496,         2.91,       0.0908
         9,  967.759,    0.005,          0.80741,          0.80741,         3.95,        0.123,        0.0085321,        0.0085321,         2.46,       0.0769
        10, 1069.660,    0.005,          0.74072,          0.74072,         4.82,        0.151,        0.0094169,        0.0094169,         2.56,       0.0801
        11, 1171.729,    0.005,          0.65559,          0.65559,         4.16,         0.13,        0.0079068,        0.0079068,         2.28,       0.0711
        12, 1273.227,    0.005,          0.53304,          0.53304,         3.52,         0.11,        0.0082902,        0.0082902,         2.28,       0.0713
        13, 1374.712,    0.005,          0.36434,          0.36434,         5.73,        0.179,         0.032782,         0.032782,         4.56,        0.142
        14, 1476.345,    0.005,          0.16509,          0.16509,         6.02,        0.188,         0.059229,         0.059229,         5.93,        0.185
        15, 1579.251,    0.005,          0.06861,          0.06861,         3.86,        0.121,         0.011968,         0.011968,         2.59,       0.0811
        16, 1681.509,    0.005,          0.29994,          0.29994,         3.67,        0.115,         0.013455,         0.013455,         2.85,       0.0889
        17, 1785.148,    0.005,          0.05713,          0.05713,         4.76,        0.149,         0.041907,         0.041907,         4.75,        0.148
        18, 1889.687,    0.005,         0.020174,         0.020174,         3.14,       0.0981,         0.028507,         0.028507,         3.61,        0.113
        19, 1996.190,    0.005,         0.014925,         0.014925,         2.63,       0.0822,          0.02216,          0.02216,         3.07,       0.0959
        20, 2098.946,    0.005,         0.010655,         0.010655,         2.21,        0.069,         0.014852,         0.014852,         2.51,       0.0783
